id,name,mw_exact,sf,+H,+Na,+K
SLM:000001321,tetracosanol,354.653200,C24H50O,355.39344267,377.37538692,393.34932413
SLM:000001322,hexacosanol,382.706400,C26H54O,383.4247428,405.40668705,421.38062426
SLM:000001323,octacosanol,410.759500,C28H58O,411.45604293,433.43798718,449.41192439
SLM:000001324,triacontanol,438.812700,C30H62O,439.48734306,461.4692873,477.44322451
SLM:000001325,octadecenol,268.477800,C18H36O,269.28389222,291.26583647,307.23977368
SLM:000001326,eicosenol,296.531000,C20H40O,297.31519235,319.2971366,335.27107381
SLM:000001327,docosenol,324.584200,C22H44O,325.34649248,347.32843673,363.30237394
SLM:000001328,octadecadienol,266.462000,C18H34O,267.26824216,289.25018641,305.22412362
SLM:000001329,tridecenol,198.344900,C13H26O,199.2056419,221.18758615,237.16152336
SLM:000001330,tetradecenol,212.371500,C14H28O,213.22129197,235.20323622,251.17717343
SLM:000001331,pentadecenol,226.398100,C15H30O,227.23694203,249.21888628,265.19282349
SLM:000001332,hexadecenol,240.424700,C16H32O,241.2525921,263.23453634,279.20847355
SLM:000001333,heptadecenol,254.451300,C17H34O,255.26824216,277.25018641,293.22412362
SLM:000001334,tetracosenol,352.637300,C24H48O,353.37779261,375.35973686,391.33367407
SLM:000001335,hexacosenol,380.690500,C26H52O,381.40909274,403.39103698,419.36497419
SLM:000001336,octacosenol,408.743600,C28H56O,409.44039286,431.42233711,447.39627432
SLM:000001337,triacontenol,436.796800,C30H60O,437.47169299,459.45363724,475.42757445
SLM:000001338,eicosadienol,294.515100,C20H38O,295.29954229,317.28148654,333.25542375
SLM:000001339,docosadienol,322.568300,C22H42O,323.33084242,345.31278666,361.28672387
SLM:000001340,octadecatrienol,264.446100,C18H32O,265.2525921,287.23453634,303.20847355
SLM:000055220,LPA(10:0),324.308289,C13H25O7P,325.14106659,347.12301084,363.09694805
SLM:000055221,LPA(12:0),352.361389,C15H29O7P,353.17236672,375.15431097,391.12824818
SLM:000055222,LPA(13:0),366.388000,C16H31O7P,367.18801678,389.16996103,405.14389824
SLM:000055223,LPA(14:0),380.414612,C17H33O7P,381.20366685,403.1856111,419.15954831
SLM:000055224,LPA(14:1),378.398712,C17H31O7P,379.18801678,401.16996103,417.14389824
SLM:000055225,LPA(15:0),394.441193,C18H35O7P,395.21931691,417.20126116,433.17519837
SLM:000055226,LPA(16:0),408.467712,C19H37O7P,409.23496698,431.21691122,447.19084843
SLM:000055227,LPA(16:1),406.451904,C19H35O7P,407.21931691,429.20126116,445.17519837
SLM:000055228,LPA(16:2),404.436005,C19H33O7P,405.20366685,427.1856111,443.15954831
SLM:000055229,LPA(17:0),422.494293,C20H39O7P,423.25061704,445.23256129,461.2064985
SLM:000055230,LPA(18:0),436.520905,C21H41O7P,437.2662671,459.24821135,475.22214856
SLM:000055231,LPA(18:1),434.505005,C21H39O7P,435.25061704,457.23256129,473.2064985
SLM:000055232,LPA(18:2),432.489105,C21H37O7P,433.23496698,455.21691122,471.19084843
SLM:000055233,LPA(18:3),430.473297,C21H35O7P,431.21931691,453.20126116,469.17519837
SLM:000055234,LPA(18:4),428.457397,C21H33O7P,429.20366685,451.1856111,467.15954831
SLM:000055235,LPA(19:0),450.547485,C22H43O7P,451.28191717,473.26386142,489.23779863
SLM:000055236,LPA(20:0),464.574097,C23H45O7P,465.29756723,487.27951148,503.25344869
SLM:000055237,LPA(20:1),462.558197,C23H43O7P,463.28191717,485.26386142,501.23779863
SLM:000055238,LPA(20:2),460.542297,C23H41O7P,461.2662671,483.24821135,499.22214856
SLM:000055239,LPA(20:3),458.526398,C23H39O7P,459.25061704,481.23256129,497.2064985
SLM:000055240,LPA(20:4),456.510498,C23H37O7P,457.23496698,479.21691122,495.19084843
SLM:000055241,LPA(20:5),454.494690,C23H35O7P,455.21931691,477.20126116,493.17519837
SLM:000055242,LPA(21:0),478.600586,C24H47O7P,479.3132173,501.29516154,517.26909875
SLM:000055243,LPA(22:0),492.627197,C25H49O7P,493.32886736,515.31081161,531.28474882
SLM:000055244,LPA(22:1),490.611298,C25H47O7P,491.3132173,513.29516154,529.26909875
SLM:000055245,LPA(22:2),488.595490,C25H45O7P,489.29756723,511.27951148,527.25344869
SLM:000055246,LPA(22:3),486.579590,C25H43O7P,487.28191717,509.26386142,525.23779863
SLM:000055247,LPA(22:4),484.563690,C25H41O7P,485.2662671,507.24821135,523.22214856
SLM:000055248,LPA(22:5),482.547791,C25H39O7P,483.25061704,505.23256129,521.2064985
SLM:000055249,LPA(22:6),480.531891,C25H37O7P,481.23496698,503.21691122,519.19084843
SLM:000055250,LPA(24:0),520.680420,C27H53O7P,521.36016749,543.34211174,559.31604895
SLM:000055251,LPA(24:1),518.664490,C27H51O7P,519.34451742,541.32646167,557.30039888
SLM:000055252,LPA(24:4),512.616882,C27H45O7P,513.29756723,535.27951148,551.25344869
SLM:000055253,LPA(24:5),510.601013,C27H43O7P,511.28191717,533.26386142,549.23779863
SLM:000055254,LPA(24:6),508.585114,C27H41O7P,509.2662671,531.24821135,547.22214856
SLM:000055255,LPA(26:0),548.733521,C29H57O7P,549.39146762,571.37341186,587.34734907
SLM:000055256,LPA(26:1),546.717712,C29H55O7P,547.37581755,569.3577618,585.33169901
SLM:000055257,LPA(26:4),540.669983,C29H49O7P,541.32886736,563.31081161,579.28474882
SLM:000055258,LPA(26:5),538.654114,C29H47O7P,539.3132173,561.29516154,577.26909875
SLM:000055259,LPA(26:6),536.638306,C29H45O7P,537.29756723,559.27951148,575.25344869
SLM:000055260,LPA(28:0),576.786682,C31H61O7P,577.42276774,599.40471199,615.3786492
SLM:000055261,LPA(28:4),568.723206,C31H53O7P,569.36016749,591.34211174,607.31604895
SLM:000055262,LPA(28:5),566.707275,C31H51O7P,567.34451742,589.32646167,605.30039888
SLM:000055263,LPA(28:6),564.691406,C31H49O7P,565.32886736,587.31081161,603.28474882
